Time 1: PC=0x085 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 114: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 115: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 118: PC=0x01B instruction = 0x318 (TAD I), rA = 0x06E, rL = 0
Time 119: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x06E, rL = 0
Time 120: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x06E, rL = 0
Time 122: PC=0x01F instruction = 0x418 (ISZ), rA = 0x06E, rL = 0
Time 123: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 124: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 127: PC=0x01B instruction = 0x318 (TAD I), rA = 0x075, rL = 0
Time 128: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x075, rL = 0
Time 129: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x075, rL = 0
Time 131: PC=0x01F instruction = 0x418 (ISZ), rA = 0x075, rL = 0
Time 132: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 133: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 136: PC=0x01B instruction = 0x318 (TAD I), rA = 0x06D, rL = 0
Time 137: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x06D, rL = 0
Time 138: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x06D, rL = 0
Time 140: PC=0x01F instruction = 0x418 (ISZ), rA = 0x06D, rL = 0
Time 141: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 142: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 145: PC=0x01B instruction = 0x318 (TAD I), rA = 0x062, rL = 0
Time 146: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x062, rL = 0
Time 147: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x062, rL = 0
Time 149: PC=0x01F instruction = 0x418 (ISZ), rA = 0x062, rL = 0
Time 150: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 151: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 154: PC=0x01B instruction = 0x318 (TAD I), rA = 0x065, rL = 0
Time 155: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x065, rL = 0
Time 156: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x065, rL = 0
Time 158: PC=0x01F instruction = 0x418 (ISZ), rA = 0x065, rL = 0
Time 159: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 160: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 163: PC=0x01B instruction = 0x318 (TAD I), rA = 0x072, rL = 0
Time 164: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x072, rL = 0
Time 165: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x072, rL = 0
Time 167: PC=0x01F instruction = 0x418 (ISZ), rA = 0x072, rL = 0
Time 168: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 169: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 172: PC=0x01B instruction = 0x318 (TAD I), rA = 0x073, rL = 0
Time 173: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x073, rL = 0
Time 174: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x073, rL = 0
Time 176: PC=0x01F instruction = 0x418 (ISZ), rA = 0x073, rL = 0
Time 177: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 178: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 181: PC=0x01B instruction = 0x318 (TAD I), rA = 0x020, rL = 0
Time 182: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x020, rL = 0
Time 183: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x020, rL = 0
Time 185: PC=0x01F instruction = 0x418 (ISZ), rA = 0x020, rL = 0
Time 186: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 187: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 190: PC=0x01B instruction = 0x318 (TAD I), rA = 0x074, rL = 0
Time 191: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x074, rL = 0
Time 192: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x074, rL = 0
Time 194: PC=0x01F instruction = 0x418 (ISZ), rA = 0x074, rL = 0
Time 195: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 196: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 199: PC=0x01B instruction = 0x318 (TAD I), rA = 0x06F, rL = 0
Time 200: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x06F, rL = 0
Time 201: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x06F, rL = 0
Time 203: PC=0x01F instruction = 0x418 (ISZ), rA = 0x06F, rL = 0
Time 204: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 205: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 208: PC=0x01B instruction = 0x318 (TAD I), rA = 0x020, rL = 0
Time 209: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x020, rL = 0
Time 210: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x020, rL = 0
Time 212: PC=0x01F instruction = 0x418 (ISZ), rA = 0x020, rL = 0
Time 213: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 214: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 217: PC=0x01B instruction = 0x318 (TAD I), rA = 0x061, rL = 0
Time 218: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x061, rL = 0
Time 219: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x061, rL = 0
Time 221: PC=0x01F instruction = 0x418 (ISZ), rA = 0x061, rL = 0
Time 222: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 223: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 226: PC=0x01B instruction = 0x318 (TAD I), rA = 0x064, rL = 0
Time 227: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x064, rL = 0
Time 228: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x064, rL = 0
Time 230: PC=0x01F instruction = 0x418 (ISZ), rA = 0x064, rL = 0
Time 231: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 232: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 235: PC=0x01B instruction = 0x318 (TAD I), rA = 0x064, rL = 0
Time 236: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x064, rL = 0
Time 237: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x064, rL = 0
Time 239: PC=0x01F instruction = 0x418 (ISZ), rA = 0x064, rL = 0
Time 240: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 241: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 244: PC=0x01B instruction = 0x318 (TAD I), rA = 0x03A, rL = 0
Time 245: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x03A, rL = 0
Time 246: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x03A, rL = 0
Time 248: PC=0x01F instruction = 0x418 (ISZ), rA = 0x03A, rL = 0
Time 249: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 250: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 253: PC=0x01B instruction = 0x318 (TAD I), rA = 0x020, rL = 0
Time 254: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x020, rL = 0
Time 255: PC=0x01E instruction = 0xC20 (IOT 4), rA = 0x020, rL = 0
Time 257: PC=0x01F instruction = 0x418 (ISZ), rA = 0x020, rL = 0
Time 258: PC=0x020 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 259: PC=0x021 instruction = 0xA1B (JMP), rA = 0x000, rL = 0
Time 262: PC=0x01B instruction = 0x318 (TAD I), rA = 0x000, rL = 0
Time 263: PC=0x01C instruction = 0xF28 (SZA RSS), rA = 0x000, rL = 0
Time 265: PC=0x01D instruction = 0xB19 (JMP I), rA = 0x000, rL = 0
Time 266: PC=0x088 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 268: PC=0x089 instruction = 0x683 (DCA), rA = 0x000, rL = 0
Time 270: PC=0x08A instruction = 0x284 (TAD), rA = 0x0F6, rL = 0
Time 272: PC=0x08B instruction = 0x682 (DCA), rA = 0x000, rL = 0
Time 274: PC=0x08C instruction = 0x84B (JMS), rA = 0x000, rL = 0
Time 275: PC=0x04C instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 277: PC=0x04D instruction = 0x647 (DCA), rA = 0x000, rL = 0
Time 279: PC=0x04E instruction = 0x648 (DCA), rA = 0x000, rL = 0
Time 280: PC=0x04F instruction = 0xC18 (IOT 3), rA = 0x031, rL = 0
Time 281: PC=0x050 instruction = 0xF48 (SMA RSS), rA = 0x031, rL = 0
Time 283: PC=0x052 instruction = 0x24A (TAD), rA = 0x001, rL = 1
Time 284: PC=0x053 instruction = 0xF48 (SMA RSS), rA = 0x001, rL = 1
Time 286: PC=0x055 instruction = 0x646 (DCA), rA = 0x000, rL = 1
Time 288: PC=0x056 instruction = 0x246 (TAD), rA = 0x001, rL = 1
Time 290: PC=0x057 instruction = 0x249 (TAD), rA = 0xFF7, rL = 1
Time 291: PC=0x058 instruction = 0xF40 (SMA), rA = 0xFF7, rL = 1
Time 293: PC=0x05A instruction = 0x448 (ISZ), rA = 0xFF7, rL = 1
Time 294: PC=0x05B instruction = 0xEC0 (CLA CLL), rA = 0x000, rL = 0
Time 296: PC=0x05C instruction = 0x247 (TAD), rA = 0x000, rL = 0
Time 297: PC=0x05D instruction = 0xE06 (RTL), rA = 0x000, rL = 0
Time 299: PC=0x05E instruction = 0x247 (TAD), rA = 0x000, rL = 0
Time 300: PC=0x05F instruction = 0xE04 (RAL), rA = 0x000, rL = 0
Time 302: PC=0x060 instruction = 0x246 (TAD), rA = 0x001, rL = 0
Time 304: PC=0x061 instruction = 0x647 (DCA), rA = 0x000, rL = 0
Time 305: PC=0x062 instruction = 0xA4F (JMP), rA = 0x000, rL = 0
Time 306: PC=0x04F instruction = 0xC18 (IOT 3), rA = 0x034, rL = 0
Time 307: PC=0x050 instruction = 0xF48 (SMA RSS), rA = 0x034, rL = 0
Time 309: PC=0x052 instruction = 0x24A (TAD), rA = 0x004, rL = 1
Time 310: PC=0x053 instruction = 0xF48 (SMA RSS), rA = 0x004, rL = 1
Time 312: PC=0x055 instruction = 0x646 (DCA), rA = 0x000, rL = 1
Time 314: PC=0x056 instruction = 0x246 (TAD), rA = 0x004, rL = 1
Time 316: PC=0x057 instruction = 0x249 (TAD), rA = 0xFFA, rL = 1
Time 317: PC=0x058 instruction = 0xF40 (SMA), rA = 0xFFA, rL = 1
Time 319: PC=0x05A instruction = 0x448 (ISZ), rA = 0xFFA, rL = 1
Time 320: PC=0x05B instruction = 0xEC0 (CLA CLL), rA = 0x000, rL = 0
Time 322: PC=0x05C instruction = 0x247 (TAD), rA = 0x001, rL = 0
Time 323: PC=0x05D instruction = 0xE06 (RTL), rA = 0x004, rL = 0
Time 325: PC=0x05E instruction = 0x247 (TAD), rA = 0x005, rL = 0
Time 326: PC=0x05F instruction = 0xE04 (RAL), rA = 0x00A, rL = 0
Time 328: PC=0x060 instruction = 0x246 (TAD), rA = 0x00E, rL = 0
Time 330: PC=0x061 instruction = 0x647 (DCA), rA = 0x000, rL = 0
Time 331: PC=0x062 instruction = 0xA4F (JMP), rA = 0x000, rL = 0
Time 332: PC=0x04F instruction = 0xC18 (IOT 3), rA = 0x032, rL = 0
Time 333: PC=0x050 instruction = 0xF48 (SMA RSS), rA = 0x032, rL = 0
Time 335: PC=0x052 instruction = 0x24A (TAD), rA = 0x002, rL = 1
Time 336: PC=0x053 instruction = 0xF48 (SMA RSS), rA = 0x002, rL = 1
Time 338: PC=0x055 instruction = 0x646 (DCA), rA = 0x000, rL = 1
Time 340: PC=0x056 instruction = 0x246 (TAD), rA = 0x002, rL = 1
Time 342: PC=0x057 instruction = 0x249 (TAD), rA = 0xFF8, rL = 1
Time 343: PC=0x058 instruction = 0xF40 (SMA), rA = 0xFF8, rL = 1
Time 345: PC=0x05A instruction = 0x448 (ISZ), rA = 0xFF8, rL = 1
Time 346: PC=0x05B instruction = 0xEC0 (CLA CLL), rA = 0x000, rL = 0
Time 348: PC=0x05C instruction = 0x247 (TAD), rA = 0x00E, rL = 0
Time 349: PC=0x05D instruction = 0xE06 (RTL), rA = 0x038, rL = 0
Time 351: PC=0x05E instruction = 0x247 (TAD), rA = 0x046, rL = 0
Time 352: PC=0x05F instruction = 0xE04 (RAL), rA = 0x08C, rL = 0
Time 354: PC=0x060 instruction = 0x246 (TAD), rA = 0x08E, rL = 0
Time 356: PC=0x061 instruction = 0x647 (DCA), rA = 0x000, rL = 0
Time 357: PC=0x062 instruction = 0xA4F (JMP), rA = 0x000, rL = 0
Time 358: PC=0x04F instruction = 0xC18 (IOT 3), rA = 0x00A, rL = 0
Time 359: PC=0x050 instruction = 0xF48 (SMA RSS), rA = 0x00A, rL = 0
Time 361: PC=0x052 instruction = 0x24A (TAD), rA = 0xFDA, rL = 0
Time 362: PC=0x053 instruction = 0xF48 (SMA RSS), rA = 0xFDA, rL = 0
Time 363: PC=0x054 instruction = 0xA63 (JMP), rA = 0xFDA, rL = 0
Time 364: PC=0x063 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 366: PC=0x064 instruction = 0x248 (TAD), rA = 0x003, rL = 0
Time 367: PC=0x065 instruction = 0xF28 (SZA RSS), rA = 0x003, rL = 0
Time 368: PC=0x067 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 370: PC=0x068 instruction = 0x247 (TAD), rA = 0x08E, rL = 0
Time 372: PC=0x069 instruction = 0x44B (ISZ), rA = 0x08E, rL = 0
Time 374: PC=0x06A instruction = 0xB4B (JMP I), rA = 0x08E, rL = 0
Time 377: PC=0x08E instruction = 0x782 (DCA I), rA = 0x000, rL = 0
Time 379: PC=0x08F instruction = 0x482 (ISZ), rA = 0x000, rL = 0
Time 381: PC=0x090 instruction = 0x483 (ISZ), rA = 0x000, rL = 0
Time 382: PC=0x091 instruction = 0xA8C (JMP), rA = 0x000, rL = 0
Time 384: PC=0x08C instruction = 0x84B (JMS), rA = 0x000, rL = 0
Time 385: PC=0x04C instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 387: PC=0x04D instruction = 0x647 (DCA), rA = 0x000, rL = 0
Time 389: PC=0x04E instruction = 0x648 (DCA), rA = 0x000, rL = 0
Time 390: PC=0x04F instruction = 0xC18 (IOT 3), rA = 0x031, rL = 0
Time 391: PC=0x050 instruction = 0xF48 (SMA RSS), rA = 0x031, rL = 0
Time 393: PC=0x052 instruction = 0x24A (TAD), rA = 0x001, rL = 1
Time 394: PC=0x053 instruction = 0xF48 (SMA RSS), rA = 0x001, rL = 1
Time 396: PC=0x055 instruction = 0x646 (DCA), rA = 0x000, rL = 1
Time 398: PC=0x056 instruction = 0x246 (TAD), rA = 0x001, rL = 1
Time 400: PC=0x057 instruction = 0x249 (TAD), rA = 0xFF7, rL = 1
Time 401: PC=0x058 instruction = 0xF40 (SMA), rA = 0xFF7, rL = 1
Time 403: PC=0x05A instruction = 0x448 (ISZ), rA = 0xFF7, rL = 1
Time 404: PC=0x05B instruction = 0xEC0 (CLA CLL), rA = 0x000, rL = 0
Time 406: PC=0x05C instruction = 0x247 (TAD), rA = 0x000, rL = 0
Time 407: PC=0x05D instruction = 0xE06 (RTL), rA = 0x000, rL = 0
Time 409: PC=0x05E instruction = 0x247 (TAD), rA = 0x000, rL = 0
Time 410: PC=0x05F instruction = 0xE04 (RAL), rA = 0x000, rL = 0
Time 412: PC=0x060 instruction = 0x246 (TAD), rA = 0x001, rL = 0
Time 414: PC=0x061 instruction = 0x647 (DCA), rA = 0x000, rL = 0
Time 415: PC=0x062 instruction = 0xA4F (JMP), rA = 0x000, rL = 0
Time 416: PC=0x04F instruction = 0xC18 (IOT 3), rA = 0x036, rL = 0
Time 417: PC=0x050 instruction = 0xF48 (SMA RSS), rA = 0x036, rL = 0
Time 419: PC=0x052 instruction = 0x24A (TAD), rA = 0x006, rL = 1
Time 420: PC=0x053 instruction = 0xF48 (SMA RSS), rA = 0x006, rL = 1
Time 422: PC=0x055 instruction = 0x646 (DCA), rA = 0x000, rL = 1
Time 424: PC=0x056 instruction = 0x246 (TAD), rA = 0x006, rL = 1
Time 426: PC=0x057 instruction = 0x249 (TAD), rA = 0xFFC, rL = 1
Time 427: PC=0x058 instruction = 0xF40 (SMA), rA = 0xFFC, rL = 1
Time 429: PC=0x05A instruction = 0x448 (ISZ), rA = 0xFFC, rL = 1
Time 430: PC=0x05B instruction = 0xEC0 (CLA CLL), rA = 0x000, rL = 0
Time 432: PC=0x05C instruction = 0x247 (TAD), rA = 0x001, rL = 0
Time 433: PC=0x05D instruction = 0xE06 (RTL), rA = 0x004, rL = 0
Time 435: PC=0x05E instruction = 0x247 (TAD), rA = 0x005, rL = 0
Time 436: PC=0x05F instruction = 0xE04 (RAL), rA = 0x00A, rL = 0
Time 438: PC=0x060 instruction = 0x246 (TAD), rA = 0x010, rL = 0
Time 440: PC=0x061 instruction = 0x647 (DCA), rA = 0x000, rL = 0
Time 441: PC=0x062 instruction = 0xA4F (JMP), rA = 0x000, rL = 0
Time 442: PC=0x04F instruction = 0xC18 (IOT 3), rA = 0x031, rL = 0
Time 443: PC=0x050 instruction = 0xF48 (SMA RSS), rA = 0x031, rL = 0
Time 445: PC=0x052 instruction = 0x24A (TAD), rA = 0x001, rL = 1
Time 446: PC=0x053 instruction = 0xF48 (SMA RSS), rA = 0x001, rL = 1
Time 448: PC=0x055 instruction = 0x646 (DCA), rA = 0x000, rL = 1
Time 450: PC=0x056 instruction = 0x246 (TAD), rA = 0x001, rL = 1
Time 452: PC=0x057 instruction = 0x249 (TAD), rA = 0xFF7, rL = 1
Time 453: PC=0x058 instruction = 0xF40 (SMA), rA = 0xFF7, rL = 1
Time 455: PC=0x05A instruction = 0x448 (ISZ), rA = 0xFF7, rL = 1
Time 456: PC=0x05B instruction = 0xEC0 (CLA CLL), rA = 0x000, rL = 0
Time 458: PC=0x05C instruction = 0x247 (TAD), rA = 0x010, rL = 0
Time 459: PC=0x05D instruction = 0xE06 (RTL), rA = 0x040, rL = 0
Time 461: PC=0x05E instruction = 0x247 (TAD), rA = 0x050, rL = 0
Time 462: PC=0x05F instruction = 0xE04 (RAL), rA = 0x0A0, rL = 0
Time 464: PC=0x060 instruction = 0x246 (TAD), rA = 0x0A1, rL = 0
Time 466: PC=0x061 instruction = 0x647 (DCA), rA = 0x000, rL = 0
Time 467: PC=0x062 instruction = 0xA4F (JMP), rA = 0x000, rL = 0
Time 468: PC=0x04F instruction = 0xC18 (IOT 3), rA = 0x00A, rL = 0
Time 469: PC=0x050 instruction = 0xF48 (SMA RSS), rA = 0x00A, rL = 0
Time 471: PC=0x052 instruction = 0x24A (TAD), rA = 0xFDA, rL = 0
Time 472: PC=0x053 instruction = 0xF48 (SMA RSS), rA = 0xFDA, rL = 0
Time 473: PC=0x054 instruction = 0xA63 (JMP), rA = 0xFDA, rL = 0
Time 474: PC=0x063 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 476: PC=0x064 instruction = 0x248 (TAD), rA = 0x003, rL = 0
Time 477: PC=0x065 instruction = 0xF28 (SZA RSS), rA = 0x003, rL = 0
Time 478: PC=0x067 instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 480: PC=0x068 instruction = 0x247 (TAD), rA = 0x0A1, rL = 0
Time 482: PC=0x069 instruction = 0x44B (ISZ), rA = 0x0A1, rL = 0
Time 484: PC=0x06A instruction = 0xB4B (JMP I), rA = 0x0A1, rL = 0
Time 487: PC=0x08E instruction = 0x782 (DCA I), rA = 0x000, rL = 0
Time 489: PC=0x08F instruction = 0x482 (ISZ), rA = 0x000, rL = 0
Time 491: PC=0x090 instruction = 0x483 (ISZ), rA = 0x000, rL = 0
Time 492: PC=0x091 instruction = 0xA8C (JMP), rA = 0x000, rL = 0
Time 494: PC=0x08C instruction = 0x84B (JMS), rA = 0x000, rL = 0
Time 495: PC=0x04C instruction = 0xE80 (CLA), rA = 0x000, rL = 0
Time 497: PC=0x04D instruction = 0x647 (DCA), rA = 0x000, rL = 0
Time 499: PC=0x04E instruction = 0x648 (DCA), rA = 0x000, rL = 0
Time 500: PC=0x04F instruction = 0xC18 (IOT 3), rA = 0x031, rL = 0
Time 501: PC=0x050 instruction = 0xF48 (SMA RSS), rA = 0x031, rL = 0
Time 503: PC=0x052 instruction = 0x24A (TAD), rA = 0x001, rL = 1
Time 504: PC=0x053 instruction = 0xF48 (SMA RSS), rA = 0x001, rL = 1
Time 506: PC=0x055 instruction = 0x646 (DCA), rA = 0x000, rL = 1
Time 508: PC=0x056 instruction = 0x246 (TAD), rA = 0x001, rL = 1
Time 510: PC=0x057 instruction = 0x249 (TAD), rA = 0xFF7, rL = 1
Time 511: PC=0x058 instruction = 0xF40 (SMA), rA = 0xFF7, rL = 1
